ch_name,x,y
FP1,-0.024013627731023217,0.08698885159208125
FP2,0.024386323846476345,0.08794679166604387
AF3,-0.02488973650167568,0.0750942164742923
AF4,0.02635403739706407,0.0758360499350593
F7,-0.056487598908718344,0.052272893723496354
F3,-0.03460004565821715,0.05482686651769638
FZ,0.0001841097070134006,0.05727051804372835
F4,0.035848479702653806,0.05587744366121811
F8,0.05916068508703486,0.05423192103927731
FC5,-0.054285263756882654,0.030894331418512153
FC1,-0.021635023462225428,0.03519701302265449
FC2,0.022081088273832507,0.03546378106971192
FC6,0.056156601764698576,0.03196499540201011
T7,-0.06458551243245102,0.0052604677218147
C3,-0.041938461319424795,0.01074710762728574
CZ,0.000224651498899583,0.013418094415170482
C4,0.04315873978455615,0.01122077263830799
T8,0.06545127432193645,0.006048994724130777
CP5,-0.05408879759075494,-0.013977554000644501
CP1,-0.02195565780079965,-0.010366912275923136
CP2,0.023734396952425546,-0.010271645323472836
CP6,0.05691046785682778,-0.013718355386355286
P7,-0.053689397411764116,-0.03698805140934504
P3,-0.034358363507553606,-0.032945542395651777
PZ,0.0001892810684180513,-0.031909429078570986
P4,0.036122943531615936,-0.03281364366136248
P8,0.05418721101109683,-0.03671756990993602
PO7,-0.040040382732564564,-0.05367408110350747
PO3,-0.024441909685890873,-0.04969504430484834
PO4,0.024645206306268305,-0.049788863132349676
PO8,0.040689977715253116,-0.05379579650157577
OZ,7.600726103758617e-05,-0.06329275605569348
