user,sessions,average,std
jackie,7,0.816843313830239,0.0715926574900566
juan,7,0.767830065318516,0.10799039551468
ryan,5,0.67430555820465,0.0860775009379415
jhony,2,0.64322414000829,0.0763262185293944
