Users,MeanBefore,StdBefore,MeanAfter,StdAfter,AverageScratch
jackie,0.527825325727462,0.0342208495645409,0.785801634192467,0.0516191690624343,0.73328049480915
jhony,0.478079736232757,0.0380835768562279,0.709043607115745,0.0475061099214471,0.658638067543506
juan,0.567356273531913,0.0527954736414213,0.728723526000976,0.0554321104131175,0.69038338959217
ryan,0.622395828366279,0.0747469087361981,0.646267354488372,0.062264459995201,0.619357630610466
All Users,0.548914290964603,0.0720163638609095,0.71745903044939,0.0708799691983943,0.675414895638823
