user,test_acc_before,test_acc_after,std_test_acc_before,std_test_acc_after
Juan,0.757365099021367,0.752400921923774,0.129440852222735,0.129154609794166
Ryan ,0.677777775128682,0.678124996026357,0.0665598819522147,0.0771161705746451
Jackie,0.832456838516962,0.836184864952451,0.0755249172067548,0.0792817162648875
Jhony,0.662067155043284,0.648119163513183,0.103851893130898,0.105526508024432
